ground_nof,bstory_cnt,totar,bottom_area,time_unit_rainqty,time_unit_ws,time_unit_wd,spt_frstt_dist,target,구조_기타,구조_벽돌구조,구조_블록구조,구조_일반목구조,구조_일반철골구조,구조_철골철근콘크리트구조,구조_철근콘크리트구조,target_log,target_boxcox
8,0,989.3,146.69,0.0,1.0,290.0,0.8,0.0258,False,False,False,False,False,False,True,0.025472795973031023,0.525472795973031
3,1,1146.0,263.0,0.0,2.0,290.0,4.5,0.0358,False,False,False,False,False,False,True,0.03517407500765403,0.535174075007654
5,1,2881.19,1088.16,0.0,2.0,270.0,1.8,0.1318,False,False,False,False,False,False,True,0.1238092857262864,0.6238092857262864
36,7,239252.0,2314.7,0.0,2.0,270.0,2.4,0.1138,False,False,False,False,False,False,True,0.10777759217343118,0.6077775921734312
3,1,356.52,86.01,0.0,3.0,270.0,3.2,0.0891,False,False,False,False,False,False,True,0.0853516670995037,0.5853516670995037
15,0,10575.6,59.65,0.0,3.0,250.0,1.7,0.178,False,False,False,False,False,False,True,0.16381808522939498,0.663818085229395
3,1,299.01,83.7,0.0,3.0,250.0,3.7,0.028,False,False,False,False,False,False,True,0.027615167032973367,0.5276151670329734
3,1,1026.05,204.44,0.0,3.0,270.0,5.4,0.0569,False,False,False,False,False,False,True,0.055340095033164595,0.5553400950331646
2,1,277.0,96.0,0.0,4.0,290.0,1.0,0.1083,False,True,False,False,False,False,False,0.1028273097994703,0.6028273097994703
3,0,163.96,5.0,0.0,3.0,270.0,1.3,0.0723,False,False,False,False,False,False,True,0.06980587424396291,0.5698058742439629
4,1,1124.57,217.69,0.0,4.0,270.0,4.0,0.0494,False,False,False,False,False,False,True,0.04821857227047433,0.5482185722704743
2,0,379.61,223.97,0.0,4.0,270.0,2.4,0.0702,False,False,False,False,False,False,True,0.0678455468950672,0.5678455468950672
4,1,1007.55,254.15,0.0,3.0,270.0,3.4,0.0569,False,False,False,False,False,False,True,0.055340095033164595,0.5553400950331646
2,0,386.72,214.55,0.0,4.0,320.0,5.0,0.0399,False,False,False,False,False,False,True,0.03912455468405003,0.5391245546840501
15,1,5444.43,422.57,0.0,3.0,270.0,3.5,0.0892,False,False,False,False,False,False,True,0.08544348181746748,0.5854434818174675
12,1,4129.15,408.05,0.0,2.0,270.0,1.6,0.0823,False,False,False,False,False,False,True,0.07908840631896367,0.5790884063189636
5,1,4969.98,766.8,0.0,2.0,340.0,5.1,0.0777,False,False,False,False,False,False,True,0.07482914062064899,0.5748291406206489
4,1,410.42,53.46,0.0,3.0,320.0,1.0,0.0599,False,False,False,False,False,False,True,0.05817456405107218,0.5581745640510721
2,1,4127.07,1832.15,0.0,3.0,290.0,2.0,0.0893,False,False,False,False,False,False,True,0.08553528810626275,0.5855352881062628
12,2,1019.39,60.27,0.0,4.0,290.0,2.2,0.0743,False,False,False,False,False,False,True,0.07166928669035966,0.5716692866903597
4,1,1571.68,30.0,0.0,4.0,290.0,1.5,0.056,False,False,False,False,False,False,True,0.05448818528406973,0.5544881852840697
2,0,60.0,60.0,0.0,4.0,290.0,1.6,0.1394,False,False,False,False,False,False,True,0.13050180806415815,0.6305018080641581
3,1,172.47,42.5,0.0,4.0,290.0,4.2,0.1186,False,True,False,False,False,False,False,0.11207790340535054,0.6120779034053505
2,1,214.11,71.37,0.0,3.0,250.0,2.8,0.0424,False,True,False,False,False,False,False,0.04152574682849831,0.5415257468284983
13,3,37827.79,4238.8,0.0,3.0,270.0,3.8,0.071,False,False,False,False,False,False,True,0.06859279146561172,0.5685927914656117
3,1,373.42,124.44,0.0,3.0,290.0,4.4,0.0867,False,False,False,False,False,False,True,0.08314558108666886,0.5831455810866688
5,1,656.63,121.27,0.0,2.0,290.0,2.8,0.0866,False,False,False,False,False,False,True,0.08305355513528564,0.5830535551352857
16,3,6723.92,490.07,0.0,3.0,270.0,2.8,0.2097,False,False,False,False,False,False,True,0.19037239498366548,0.6903723949836655
3,1,551.13,145.45,0.0,2.0,290.0,1.4,0.0921,False,False,False,False,False,False,True,0.08810244822154566,0.5881024482215457
