대지위치,세대수,가구수,노후화
서울특별시 강남구 역삼동 763-16,25,0,16
서울특별시 강남구 삼성동 121-38,21,0,15
서울특별시 강남구 세곡동 522,40,0,14
서울특별시 강남구 역삼동 900,0,0,4
서울특별시 강남구 율현동 365,21,0,10
서울특별시 강남구 개포동 1282,173,0,5
서울특별시 강남구 일원동 743,0,0,4
서울특별시 강남구 역삼동 690-42,16,0,9
서울특별시 강남구 역삼동 798-27,9,0,9
서울특별시 강남구 신사동 561-28,7,0,8
서울특별시 강남구 역삼동 784-11,10,0,8
서울특별시 강남구 도곡동 538-3,0,0,9
서울특별시 강남구 청담동 62-6,18,0,8
서울특별시 강남구 역삼동 637-6,16,0,8
서울특별시 강남구 도곡동 955-7,24,0,13
서울특별시 강남구 논현동 136-22,14,0,12
서울특별시 강남구 세곡동 425,8,0,7
서울특별시 강남구 자곡동 618,0,0,11
서울특별시 강남구 논현동 247-1,16,0,5
서울특별시 강남구 역삼동 798-1,20,0,4
서울특별시 강남구 역삼동 773-3,0,0,34
서울특별시 강남구 역삼동 635-11,0,0,39
서울특별시 강남구 대치동 974,48,0,26
서울특별시 강남구 도곡동 527,84,0,19
서울특별시 강남구 삼성동 58-7,6,0,45
서울특별시 강남구 삼성동 7-3,0,0,18
서울특별시 강남구 신사동 625-9,6,0,37
서울특별시 강남구 역삼동 652,0,0,1
서울특별시 강남구 역삼동 683-43,0,5,19
서울특별시 강남구 신사동 539,0,0,39
서울특별시 강남구 일원동 580,0,0,11
서울특별시 강남구 삼성동 149,0,0,8
서울특별시 강남구 역삼동 798-16,0,0,1
서울특별시 강남구 삼성동 141,0,0,33
서울특별시 강남구 청담동 62-30,0,0,1
서울특별시 강남구 삼성동 94-13,0,0,1
서울특별시 강남구 삼성동 10-27,0,1,35
서울특별시 강남구 신사동 576-1,0,0,40
서울특별시 강남구 대치동 1014-2,0,0,34
서울특별시 강남구 도곡동 464,0,0,40
서울특별시 강남구 삼성동 141-33,47,0,19
서울특별시 강남구 논현동 123-2,0,0,42
서울특별시 강남구 개포동 654,0,0,39
서울특별시 강남구 논현동 181-8,0,1,42
서울특별시 강남구 논현동 229-1,0,0,29
서울특별시 강남구 삼성동 143-39,0,0,32
서울특별시 강남구 청담동 18-24,0,0,3
서울특별시 강남구 역삼동 780-27,0,7,30
서울특별시 강남구 논현동 233-3,0,7,24
서울특별시 강남구 청담동 71-25,0,0,20
서울특별시 강남구 역삼동 775-17,0,0,33
서울특별시 강남구 논현동 148-3,0,1,32
서울특별시 강남구 삼성동 77-28,0,0,49
서울특별시 강남구 논현동 20-15,0,1,32
서울특별시 강남구 역삼동 607-16,0,0,37
서울특별시 강남구 논현동 33,0,1,36
서울특별시 강남구 논현동 162-10,0,10,23
서울특별시 강남구 대치동 903-24,0,9,31
서울특별시 강남구 논현동 173-25,0,7,30
서울특별시 강남구 개포동 1203,0,1,37
서울특별시 강남구 역삼동 726-10,0,0,22
서울특별시 강남구 율현동 197-2,0,1,36
서울특별시 강남구 삼성동 143-33,0,0,47
서울특별시 강남구 논현동 158-6,0,4,28
서울특별시 강남구 논현동 97-12,0,0,20
서울특별시 강남구 논현동 81-4,0,1,43
서울특별시 강남구 논현동 139-28,0,1,31
서울특별시 강남구 일원동 627-9,0,1,39
서울특별시 강남구 역삼동 697-13,0,0,20
서울특별시 강남구 역삼동 668-20,0,0,25
서울특별시 강남구 청담동 10-2,0,16,31
서울특별시 강남구 논현동 148-9,0,1,32
서울특별시 강남구 삼성동 158-3,0,0,32
서울특별시 강남구 역삼동 739-19,0,0,20
서울특별시 강남구 역삼동 674-28,0,1,43
서울특별시 강남구 논현동 197-19,0,7,25
서울특별시 강남구 신사동 655-9,0,1,49
서울특별시 강남구 논현동 237-8,0,13,22
서울특별시 강남구 논현동 153-3,0,0,19
서울특별시 강남구 논현동 9-23,0,0,22
서울특별시 강남구 신사동 560-5,0,9,28
서울특별시 강남구 역삼동 620-9,0,0,20
서울특별시 강남구 신사동 657-29,0,0,31
서울특별시 강남구 논현동 143-12,0,0,50
서울특별시 강남구 논현동 49-7,0,0,32
서울특별시 강남구 삼성동 38-23,0,0,38
서울특별시 강남구 역삼동 704-28,0,11,23
서울특별시 강남구 삼성동 143-34,0,0,39
서울특별시 강남구 역삼동 724-2,0,5,23
서울특별시 강남구 논현동 90,0,0,38
서울특별시 강남구 청담동 82-3,0,0,28
서울특별시 강남구 신사동 628-44,0,1,31
서울특별시 강남구 대치동 994-5,0,0,27
서울특별시 강남구 삼성동 62-11,0,1,2
서울특별시 강남구 논현동 94-20,0,0,33
서울특별시 강남구 율현동 196,0,1,25
서울특별시 강남구 신사동 626-72,0,8,31
서울특별시 강남구 신사동 644-7,0,0,35
서울특별시 강남구 일원동 649-3,0,1,38
서울특별시 강남구 역삼동 748-1,0,1,35
서울특별시 강남구 일원동 648,0,1,39
서울특별시 강남구 신사동 627-16,0,0,23
서울특별시 강남구 논현동 66-4,0,0,18
서울특별시 강남구 삼성동 151-29,0,0,21
서울특별시 강남구 역삼동 632-4,0,0,38
서울특별시 강남구 삼성동 39-11,0,10,24
서울특별시 강남구 대치동 1022-1,0,0,45
서울특별시 강남구 역삼동 718-10,0,0,29
서울특별시 강남구 신사동 622-9,0,0,43
서울특별시 강남구 청담동 46-11,0,0,22
서울특별시 강남구 논현동 51-1,0,0,23
서울특별시 강남구 대치동 922-17,0,0,34
서울특별시 강남구 논현동 95-14,0,0,23
서울특별시 강남구 삼성동 143-28,0,0,24
서울특별시 강남구 논현동 91-3,0,0,36
서울특별시 강남구 논현동 100-18,0,1,45
서울특별시 강남구 삼성동 152-54,0,4,24
서울특별시 강남구 신사동 636-24,0,0,1
서울특별시 강남구 일원동 629-10,0,1,40
서울특별시 강남구 청담동 278,0,1,25
서울특별시 강남구 역삼동 647,0,0,39
