대지위치,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률(%),구조,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),노후화,위도,경도
서울특별시 강남구 역삼동 628-12번지,541.5,269.59,49.79,1956.35,279.62,7,0,0,31.44,8,2,2,0,0,0.0,1956.35,8,37.503944,127.0350952
서울특별시 강남구 역삼동 628-13번지,1190.3,562.99,47.3,4604.5,283.45,7,0,0,25.53,6,2,1,0,0,0.0,4604.5,37,37.5037331,127.0351197
서울특별시 강남구 역삼동 628-14번지,1191.8,558.43,46.86,5077.38,325.84,7,0,0,31.6,8,2,1,0,0,0.0,5077.38,37,37.5034993,127.0352295
서울특별시 강남구 역삼동 628-15번지,305.1,152.18,49.88,830.32,228.5,7,0,4,22.75,7,1,1,0,0,0.0,830.32,9,37.5041537,127.0346952
서울특별시 강남구 역삼동 629번지,227.0,135.53,59.7,657.35,210.94,7,11,0,10.95,4,1,0,0,0,0.0,657.35,22,37.5031119,127.0330164
서울특별시 강남구 역삼동 629-1번지,663.0,326.53,49.25,2201.22,94.46,7,0,0,10.39,2,4,1,0,0,0.0,2201.22,17,37.5032126,127.0334633
서울특별시 강남구 역삼동 629-2번지,511.9,252.76,49.38,767.94,96.42,7,0,0,9.25,2,1,0,0,0,0.0,767.94,21,37.5032913,127.033673
서울특별시 강남구 역삼동 629-3번지,441.7,174.24,39.45,494.8,78.11,7,0,0,7.85,2,1,0,0,0,0.0,494.8,32,37.50334710000001,127.0338601
서울특별시 강남구 역삼동 629-4번지,459.1,161.4,35.16,311.3,67.81,7,0,0,8.1,2,0,0,0,0,0.0,311.3,23,37.5033997,127.0340368
서울특별시 강남구 역삼동 629-6번지,0.0,106.83,0.0,303.84,0.0,2,0,1,0.0,2,1,0,0,0,0.0,303.84,39,37.5035886,127.0344587
서울특별시 강남구 역삼동 629-7번지,0.0,121.82,0.0,315.61,0.0,2,0,0,0.0,2,1,0,0,0,0.0,315.61,41,37.5034763,127.034514
서울특별시 강남구 역삼동 629-8번지,429.6,165.82,38.6,317.86,59.16,2,0,0,6.8,2,1,0,0,1,31.0,317.86,41,37.5032698,127.0344722
서울특별시 강남구 역삼동 629-9번지,0.0,141.54,0.0,268.44,0.0,2,0,1,0.0,2,1,0,0,1,18.6,268.44,41,37.5032218,127.0343108
서울특별시 강남구 청담동 26-21번지,271.9,160.05,58.86,736.37,148.34,7,16,0,10.74,3,2,0,0,0,0.0,739.77,14,37.519726,127.0442561
서울특별시 강남구 청담동 26-22번지,275.5,140.56,51.02,609.5,148.47,7,8,0,12.69,4,1,1,0,0,0.0,609.5,12,37.5236944,127.0530051
서울특별시 강남구 청담동 26-23번지,274.3,156.28,56.97,789.48,149.49,7,0,7,10.3,3,2,0,0,0,0.0,789.48,21,37.5197786,127.0439523
서울특별시 강남구 청담동 26-24번지,271.7,160.29,59.0,560.53,147.35,7,7,0,14.7,4,1,1,0,0,0.0,560.53,8,37.5198048,127.043801
서울특별시 강남구 청담동 26-25번지,281.2,139.84,49.73,572.73,145.28,7,0,3,10.8,3,1,0,0,0,0.0,528.57,28,37.5198304,127.0436473
서울특별시 강남구 청담동 26-26번지,281.4,163.27,58.02,657.68,157.55,7,0,10,10.7,3,1,0,0,0,0.0,657.68,30,37.5196573,127.0436011
서울특별시 강남구 청담동 26-27번지,272.1,145.91,53.62,529.7,138.24,7,0,6,10.48,3,1,0,0,0,0.0,529.7,23,37.5196293,127.0437547
서울특별시 강남구 청담동 26-28번지,273.4,145.91,53.37,529.7,137.58,7,0,6,10.59,3,1,0,0,0,0.0,529.7,23,37.519603,127.0439062
서울특별시 강남구 청담동 47-8번지,236.7,126.87,53.5995,968.95,346.6244,7,0,0,28.8,7,1,1,0,0,0.0,968.95,15,37.51950590000001,127.0492833
서울특별시 강남구 청담동 48-2번지,906.5,363.81,40.13,3439.17,299.94,7,0,0,33.45,8,1,0,0,0,0.0,3439.17,35,37.5239019,127.0482642
서울특별시 강남구 청담동 48-3번지,488.3,274.06,56.13,5666.38,942.76,7,0,0,70.02,20,4,1,1,0,0.0,5666.38,9,37.5240354,127.0484871
서울특별시 강남구 청담동 48-7번지,940.7,487.93,51.87,5868.44,403.64,7,0,0,38.75,8,3,1,0,0,0.0,5868.44,27,37.5236221,127.04805
서울특별시 강남구 청담동 48-8번지,331.5,164.56,49.64,1153.2,272.52,7,0,0,21.3,6,1,0,0,0,0.0,1153.2,33,37.5238062,127.0479044
서울특별시 강남구 개포동 1255-7번지,189.0,113.22,59.9,330.88,175.07,7,10,0,17.1,5,0,1,0,0,0.0,330.88,3,37.4799773,127.0478391
서울특별시 강남구 개포동 1255-8번지,189.0,104.06,55.06,400.14,211.71,7,8,0,12.4,5,0,0,0,0,0.0,400.14,23,37.4799614,127.0476878
서울특별시 강남구 개포동 1255-9번지,0.0,93.19,0.0,246.4,0.0,2,0,1,0.0,2,1,0,0,0,0.0,246.4,37,37.4799454,127.0475365
서울특별시 강남구 개포동 1282번지,0.0,537.1,0.0,4812.41,0.0,7,48,0,41.05,13,0,0,2,0,0.0,4812.41,5,37.4786358,127.0538806
서울특별시 강남구 개포동 1282번지,0.0,715.87,0.0,47.29,0.0,7,0,0,3.0,1,0,4,0,0,0.0,47.29,5,37.4786358,127.0538806
서울특별시 강남구 개포동 1282번지,0.0,462.67,0.0,4465.78,0.0,7,52,0,43.95,14,0,0,2,0,0.0,4465.78,5,37.4786358,127.0538806
서울특별시 강남구 개포동 1282번지,0.0,979.93,0.0,22429.11,0.0,7,159,0,101.0,34,0,2,2,0,0.0,22429.11,5,37.4786358,127.0538806
서울특별시 강남구 개포동 1282번지,0.0,462.67,0.0,4800.7,0.0,7,56,0,46.85,15,0,0,2,0,0.0,4800.7,5,37.4786358,127.0538806
서울특별시 강남구 개포동 1282번지,0.0,462.67,0.0,4633.24,0.0,7,54,0,46.75,15,0,0,2,0,0.0,4633.24,5,37.4786358,127.0538806
서울특별시 강남구 개포동 1282번지,0.0,690.2,0.0,16302.21,0.0,7,130,0,97.05,33,0,2,2,0,0.0,16302.21,5,37.4786358,127.0538806
서울특별시 강남구 개포동 1282번지,0.0,462.67,0.0,7145.14,0.0,7,84,0,67.05,22,0,0,2,0,0.0,7145.14,5,37.4786358,127.0538806
서울특별시 강남구 개포동 1282번지,0.0,552.21,0.0,9647.66,0.0,7,96,0,75.75,25,0,0,2,0,0.0,9647.66,5,37.4786358,127.0538806
서울특별시 강남구 개포동 1208-7번지,339.7,156.98,46.21,796.44,161.67,7,0,0,13.36,4,1,0,0,0,0.0,796.44,34,37.4776842,127.0509494
서울특별시 강남구 개포동 1208-8번지,195.0,94.16,48.29,249.91,79.87,2,0,1,7.89,2,1,0,0,0,0.0,249.91,37,37.4778066,127.0508181
서울특별시 강남구 개포동 1208-9번지,195.1,116.82,59.88,382.31,195.96,7,7,0,13.8,5,0,1,0,0,0.0,382.31,9,37.477897,127.0507245
서울특별시 강남구 개포동 1208-10번지,195.2,96.72,49.55,290.16,99.1,2,6,0,7.9,2,1,0,0,0,0.0,290.16,35,37.4779873,127.0506308
서울특별시 강남구 개포동 1208-11번지,195.1,101.88,52.22,298.98,102.41,2,6,0,7.9,2,1,0,0,0,0.0,298.98,34,37.4780776,127.0505371
서울특별시 강남구 개포동 1208-12번지,196.3,110.24,56.16,484.02,246.57,7,0,1,15.5,5,0,0,0,0,0.0,484.02,22,37.4781696,127.0504447
서울특별시 강남구 개포동 1209번지,229.2,112.66,49.15,664.93,223.27,7,0,0,17.0,5,1,0,0,0,0.0,664.93,30,37.4787536,127.0505712
서울특별시 강남구 개포동 1209-1번지,195.0,97.32,49.91,272.19,91.14,2,0,1,7.9,2,1,0,0,0,0.0,272.19,37,37.4786581,127.0506831
서울특별시 강남구 개포동 1209-2번지,0.0,94.89,0.0,278.85,0.0,2,0,1,0.0,2,1,0,0,0,0.0,278.85,37,37.4785678,127.0507768
서울특별시 강남구 개포동 1209-3번지,124.1,73.46,59.19,260.24,209.7,7,4,0,13.1,5,0,0,0,0,0.0,260.24,22,37.4784939,127.0508534
서울특별시 강남구 개포동 1209-5번지,194.9,116.455,59.75,437.01,164.79,2,0,1,10.9,3,1,0,0,0,0.0,437.01,34,37.478297,127.0510577
서울특별시 강남구 개포동 1209-6번지,194.9,101.08,51.86,404.32,155.59,7,8,0,10.5,3,1,0,0,0,0.0,404.32,34,37.4782068,127.0511514
서울특별시 강남구 개포동 1209-7번지,194.8,95.96,49.26,277.23,94.88,2,0,3,7.8,2,1,0,0,0,0.0,277.23,35,37.4781167,127.051245
서울특별시 강남구 개포동 1209-8번지,378.9,224.15,59.16,805.64,212.63,7,6,0,15.3,5,0,0,0,0,0.0,805.64,24,37.4780265,127.0513386
서울특별시 강남구 개포동 163-2번지,0.0,68.76,0.0,214.2,0.0,2,0,1,0.0,2,1,0,0,0,0.0,214.2,37,37.4836935,127.0619225
서울특별시 강남구 개포동 163-3번지,0.0,82.56,0.0,324.24,0.0,7,0,4,0.0,3,1,0,0,0,0.0,324.24,32,37.4836247,127.0620062
서울특별시 강남구 개포동 163-4번지,223.8,126.44,56.5,482.24,161.61,7,0,8,9.0,3,1,0,0,0,0.0,482.24,31,37.4835336,127.0621148
서울특별시 강남구 개포동 163-5번지,375.2,212.62,56.67,946.64,189.5,7,0,0,13.5,4,1,0,0,0,0.0,946.64,30,37.4834492,127.0620179
서울특별시 강남구 개포동 163-7번지,182.0,88.7,48.74,259.98,95.48,2,0,1,7.9,2,1,0,0,0,0.0,259.98,38,37.48363210000001,127.0617924
서울특별시 강남구 개포동 163-8번지,182.0,93.19,51.2,354.94,133.48,7,0,6,11.45,3,1,0,0,0,0.0,354.94,35,37.4837228,127.0616822
서울특별시 강남구 개포동 163-9번지,0.0,87.29,0.0,241.09,0.0,2,0,1,0.0,2,1,0,0,0,0.0,241.09,38,37.48381639999999,127.0615712
서울특별시 강남구 개포동 164번지,146.0,79.57,54.5,398.96,206.68,7,0,6,12.5,4,1,0,0,0,0.0,398.96,37,37.4837054,127.0614047
서울특별시 강남구 역삼동 660-19번지,231.6,137.6,59.41,510.34,161.56,7,0,9,10.5,3,1,0,0,0,0.0,510.34,23,37.5056145,127.0368588
서울특별시 강남구 역삼동 660-20번지,257.5,154.21,59.89,589.24,168.94,7,0,9,9.2,3,1,0,0,0,0.0,589.24,24,37.5054988,127.0369106
서울특별시 강남구 역삼동 660-21번지,228.1,135.96,59.61,599.23,147.2,7,0,0,16.3,4,2,1,0,0,0.0,599.23,3,37.5059089,127.0369866
서울특별시 강남구 역삼동 660-22번지,238.7,142.7,59.78,522.32,163.35,7,0,9,10.2,3,1,0,0,0,0.0,522.32,25,37.5057985,127.0370371
서울특별시 강남구 역삼동 660-23번지,231.8,138.08,59.57,519.12,164.38,7,0,7,10.2,3,1,0,0,0,0.0,519.12,23,37.5056878,127.0370893
