address,bstory_cnt,old,lat,lon,in_flood_area,flood_point_count,height(m),ground_nof,struc,1f_flo,flood_risk_score,flood_risk_level,cluster
서울특별시 강남구 역삼동 628-12번지,2,8,37.503944,127.0350952,1,4367,31.44,8,6,4.323,36.58454834925424,2,0.0
서울특별시 강남구 역삼동 628-13번지,2,37,37.5037331,127.0351197,1,4405,25.53,6,6,4.6805,36.90296631473103,2,1.0
서울특별시 강남구 역삼동 628-14번지,2,37,37.5034993,127.0352295,1,4492,31.6,8,6,4.345000000000001,37.63197586726999,2,1.0
서울특별시 강남구 역삼동 628-15번지,1,9,37.5041537,127.0346952,1,4456,22.75,7,6,3.575,37.33031674208145,2,0.0
서울특별시 강남구 역삼동 629번지,1,22,37.5031119,127.0330164,1,5002,10.95,4,6,3.01125,41.90548014077426,3,1.0
서울특별시 강남구 역삼동 629-1번지,4,17,37.5032126,127.0334633,1,4863,10.39,2,6,5.714500000000001,40.74074074074075,3,1.0
서울특별시 강남구 역삼동 629-2번지,1,21,37.5032913,127.033673,1,4815,9.25,2,6,5.0875,40.33852857382269,3,1.0
서울특별시 강남구 역삼동 629-3번지,1,32,37.50334710000001,127.0338601,1,4755,7.85,2,6,4.3175,39.83576336517513,2,1.0
서울특별시 강남구 역삼동 629-4번지,0,23,37.5033997,127.0340368,1,4726,8.1,2,6,4.455,39.59276018099548,2,0.0
서울특별시 강남구 역삼동 629-6번지,1,39,37.5035886,127.0344587,1,4584,0.0,2,2,0.0,38.40288252052958,2,4.0
서울특별시 강남구 역삼동 629-7번지,1,41,37.5034763,127.034514,1,4620,0.0,2,2,0.0,38.70454164571812,2,4.0
서울특별시 강남구 역삼동 629-8번지,1,41,37.5032698,127.0344722,1,4703,6.8,2,2,3.74,39.400033517680576,2,4.0
서울특별시 강남구 역삼동 629-9번지,1,41,37.5032218,127.0343108,1,4731,0.0,2,2,0.0,39.63465728171611,2,4.0
서울특별시 강남구 청담동 26-21번지,2,14,37.519726,127.0442561,1,18,10.74,3,6,3.9380000000000006,0.1424501424501424,1,1.0
서울특별시 강남구 청담동 26-23번지,2,21,37.5197786,127.0439523,1,24,10.3,3,6,3.7766666666666673,0.1927266633148986,1,1.0
서울특별시 강남구 청담동 26-24번지,1,8,37.5198048,127.043801,1,34,14.7,4,6,4.0425,0.2765208647561589,1,0.0
서울특별시 강남구 청담동 26-25번지,1,28,37.5198304,127.0436473,1,45,10.8,3,6,3.96,0.3686944863415451,1,1.0
서울특별시 강남구 청담동 26-26번지,1,30,37.5196573,127.0436011,1,73,10.7,3,6,3.923333333333333,0.603318250377074,1,1.0
서울특별시 강남구 청담동 26-27번지,1,23,37.5196293,127.0437547,1,61,10.48,3,6,3.842666666666667,0.5027652086475616,1,1.0
