대지위치,지하층수,노후화,위도,경도,in_flood_area,flood_point_count,높이(m),지상층수,구조
서울특별시 강남구 역삼동 628-12번지,2,8,37.503944,127.0350952,1,4367,31.44,8,7
서울특별시 강남구 역삼동 628-13번지,2,37,37.5037331,127.0351197,1,4405,25.53,6,7
서울특별시 강남구 역삼동 628-14번지,2,37,37.5034993,127.0352295,1,4492,31.6,8,7
서울특별시 강남구 역삼동 628-15번지,1,9,37.5041537,127.0346952,1,4456,22.75,7,7
서울특별시 강남구 역삼동 629번지,1,22,37.5031119,127.0330164,1,5002,10.95,4,7
서울특별시 강남구 역삼동 629-1번지,4,17,37.5032126,127.0334633,1,4863,10.39,2,7
서울특별시 강남구 역삼동 629-2번지,1,21,37.5032913,127.033673,1,4815,9.25,2,7
서울특별시 강남구 역삼동 629-3번지,1,32,37.50334710000001,127.0338601,1,4755,7.85,2,7
서울특별시 강남구 역삼동 629-4번지,0,23,37.5033997,127.0340368,1,4726,8.1,2,7
서울특별시 강남구 역삼동 629-6번지,1,39,37.5035886,127.0344587,1,4584,0.0,2,2
서울특별시 강남구 역삼동 629-7번지,1,41,37.5034763,127.034514,1,4620,0.0,2,2
서울특별시 강남구 역삼동 629-8번지,1,41,37.5032698,127.0344722,1,4703,6.8,2,2
서울특별시 강남구 역삼동 629-9번지,1,41,37.5032218,127.0343108,1,4731,0.0,2,2
서울특별시 강남구 청담동 26-21번지,2,14,37.519726,127.0442561,1,18,10.74,3,7
서울특별시 강남구 청담동 26-22번지,1,12,37.5236944,127.0530051,0,0,12.69,4,7
서울특별시 강남구 청담동 26-23번지,2,21,37.5197786,127.0439523,1,24,10.3,3,7
서울특별시 강남구 청담동 26-24번지,1,8,37.5198048,127.043801,1,34,14.7,4,7
서울특별시 강남구 청담동 26-25번지,1,28,37.5198304,127.0436473,1,45,10.8,3,7
서울특별시 강남구 청담동 26-26번지,1,30,37.5196573,127.0436011,1,73,10.7,3,7
